Parameter,Distribution_type,Lower_bound,Upper_bound,Mean,Standard_deviation
CO2_TAX,unif,0.5,2,,
CO2_EFF,unif,0.889,1.100,,
ELYS_ELEC_EFF,unif,0.8,1.2,,
H2S_INVC,unif,0.5,2,,
SMR_CCS_INVC,unif,0.5,1.289,,
PV_INVC,unif,0.5,1.5,,
ONS_WT_INVC,unif,0.5,1.455,,
H2_OandM,unif,0.5,2,,
H2_TRANS_INVC,unif,0.75,1.5,,
ELEC_TRANS_INVC,unif,0.75,1.5,,
IMPORT_H2_P,unif,0.8,1.2,,
DH2_DEMAND_Rest,unif,0.5,1.785,,
DH2_DEMAND_DK,unif,0.5,1.965,,
DH2_DEMAND_DE,unif,0.5,2.040,,
DE_DEMAND_Rest,unif,0.5,1.5,,
DE_DEMAND_DK,unif,0.5,1.5,,
DE_DEMAND_DE,unif,0.5,1.5,,
PV_LIMIT_NORTH,unif,1,2,,
PV_LIMIT_SOUTH,unif,1,2,,
ONS_LIMIT_DK,unif,1,2,,
ONS_LIMIT_DE,unif,1,2,,
ONS_LIMIT_NORTH,unif,1,2,,
ONS_LIMIT_SOUTH,unif,1,2,,
TRANS_DEMAND_REST,unif,0.5,2,,
TRANS_DEMAND_DE,unif,0.5,2,,
